id,easting,northing
E21589,625950,247550
079621,422050,422450
3683,459750,311450
028502,390950,512150
3026,381550,322450
52223,336250,166450
E24775,641050,284150
E21096,559050,301050
E14850,454850,81050
1713,341350,327550
022163,406350,540750
52147,337550,128650
E23470,638250,260550
E1457,490950,376250
560557,376650,392750
047281,382950,486650
52150,307450,137450
E7040,487650,386850
061431,390150,474250
013878,366550,553050
291477TP,546850,175450
E23518,614750,305350
021028,438950,560650
276036TP,504050,183750
E2382,482650,271150
E5721,498750,365250
E10120,496950,136650
E24187,623350,262850
E6780,588050,112950
E5726,504250,302650
240816TP,519250,220850
50103,248650,111250
47170,235750,74450
531184,384950,148650
E21335,471750,248750
597519,377850,496350
E23420,612650,324350
43105,405150,162150
50194,243250,127350
017651,420250,567350
47108,250950,78450
1813,376850,205750
284703TP,530550,143750
291241TP,545950,165250
E23646,544050,299250
48181,198250,52650
568363,332750,408850
1817,333850,312750
531175,381550,183050
592448,323550,512150
083280,437850,366550
E1928,533350,361650
241790TP,533350,220950
253340TP,418150,220050
585022,346550,505350
256345TP,452350,252550
026090,442550,540850
3178,462650,345050
053532,423650,491550
E8480,551150,123550
E22486,564550,235150
E24952,560550,207550
010660,374950,603050
E24591,569350,274850
43103,407450,140550
287946TP,527850,170150
E2050,567850,135950
E2040,572150,140550
45167,313850,112850
E24585,488750,252650
010312,376150,583250
E14420,431150,102850
E1976,489750,302750
43201,375350,131850
3779,483550,411250
E43545,523450,374350
E5731,504950,259850
035103,476750,516950
E5170,623650,140250
1040,415450,267950
574656,393350,437450
E23440,629750,330750
E24908,582850,190550
039268,515250,461950
592464,322550,513550
014555,368050,564050
1140,398750,219650
288092TP,531550,170850
44132,370750,84450
3771,461350,339350
47112,257350,62050
591419,303550,504550
E24732,602850,295150
569709,363250,412150
50188,252850,144250
45183,274450,136550
3288,420650,293850
46103,275150,65850
E1966,527150,299350
584772,354950,493150
53111,365550,157450
52149,363050,115450
E24930,607250,217850
E21602,567850,206650
E8743,531450,107650
3571,389750,356450
E5723,522450,356750
E1606,507550,338250
034091,462150,522750
575335,377150,440750
605382,335750,532250
E1716,473350,282350
